"area","file","line","label","field","dynamic_name","column","declared_required","named","api_modules","target_tables","candidate_tables","disposition","candidate_nonempty_rows","scenario","evidence_key","note"
"approval","approval/detail.vue","511","目标用户ID","transferTargetUserId","","transfer_target_user_id","True","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","","COMMAND_INPUT","0","USER_ENTERED","api:workflow","操作命令参数；成功执行后转化为状态、记录或关联行，不按同名列持久化。"
"approval","approval/detail.vue","514","转办说明","transferComment","","transfer_comment","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","","COMMAND_INPUT","0","USER_ENTERED","api:workflow","操作命令参数；成功执行后转化为状态、记录或关联行，不按同名列持久化。"
"approval","approval/detail.vue","532","加签审批人","addSignUserIds","","add_sign_user_ids","True","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","","COMMAND_INPUT","0","USER_ENTERED","api:workflow","操作命令参数；成功执行后转化为状态、记录或关联行，不按同名列持久化。"
"approval","approval/detail.vue","540","加签说明","addSignComment","","add_sign_comment","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","","COMMAND_INPUT","0","USER_ENTERED","api:workflow","操作命令参数；成功执行后转化为状态、记录或关联行，不按同名列持久化。"
"approval","approval/process.vue","510","流程名称","templateName","","template_name","True","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template","DATA_VALUE","3","SEEDED","wf_template.template_name:3",""
"approval","approval/process.vue","513","启用状态","enabled","","enabled","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template","DATA_VALUE","3","SEEDED","wf_template.enabled:3",""
"approval","approval/process.vue","516","金额下限","amountMin","","amount_min","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template","DATA_VALUE","2","SEEDED","wf_template.amount_min:2",""
"approval","approval/process.vue","519","金额上限","amountMax","","amount_max","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template","DATA_VALUE","2","SEEDED","wf_template.amount_max:2",""
"approval","approval/process.vue","523","匹配条件 JSON","conditionRule","","condition_rule","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template;wf_template_node","DATA_VALUE","2","SEEDED","wf_template.condition_rule:1;wf_template_node.condition_rule:1",""
"approval","approval/process.vue","530","备注","remark","","remark","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_instance;wf_node_instance;wf_record;wf_task;wf_template;wf_template_node","DATA_VALUE","28","SEEDED","wf_instance.remark:7;wf_node_instance.remark:6;wf_record.remark:4;wf_task.remark:5;wf_template.remark:3;wf_template_node.remark:3",""
"approval","approval/process.vue","610","节点编码","nodeCode","","node_code","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_node_instance;wf_record;wf_template_node","DATA_VALUE","17","SEEDED","wf_node_instance.node_code:6;wf_record.node_code:4;wf_template_node.node_code:7",""
"approval","approval/process.vue","613","节点名称","nodeName","","node_name","True","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_node_instance;wf_record;wf_template_node","DATA_VALUE","17","SEEDED","wf_node_instance.node_name:6;wf_record.node_name:4;wf_template_node.node_name:7",""
"approval","approval/process.vue","616","节点顺序","nodeOrder","","node_order","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_node_instance;wf_template_node","DATA_VALUE","13","SEEDED","wf_node_instance.node_order:6;wf_template_node.node_order:7",""
"approval","approval/process.vue","619","审批模式","approveMode","","approve_mode","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_node_instance;wf_template_node","DATA_VALUE","13","SEEDED","wf_node_instance.approve_mode:6;wf_template_node.approve_mode:7",""
"approval","approval/process.vue","622","允许转办","allowTransfer","","allow_transfer","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template_node","DATA_VALUE","7","SEEDED","wf_template_node.allow_transfer:7",""
"approval","approval/process.vue","625","允许加签","allowAddSign","","allow_add_sign","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template_node","DATA_VALUE","7","SEEDED","wf_template_node.allow_add_sign:7",""
"approval","approval/process.vue","629","审批人配置","approverConfig","","approver_config","True","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template_node","DATA_VALUE","7","SEEDED","wf_template_node.approver_config:7",""
"approval","approval/process.vue","632","节点配置 JSON","nodeConfig","","node_config","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_template_node","DATA_VALUE","1","SEEDED","wf_template_node.node_config:1",""
"approval","approval/process.vue","635","备注","remark","","remark","False","False","workflow","wf_instance;wf_node_instance;wf_task;wf_record;wf_cc;wf_template;wf_template_node;approval_routing_rule","wf_instance;wf_node_instance;wf_record;wf_task;wf_template;wf_template_node","DATA_VALUE","28","SEEDED","wf_instance.remark:7;wf_node_instance.remark:6;wf_record.remark:4;wf_task.remark:5;wf_template.remark:3;wf_template_node.remark:3",""
"bid-cost","bid-cost/index.vue","575","投标项目名称","bidProjectName","","bid_project_name","True","False","bid;project","bid_cost;bid_deposit;bid_cost_target_transfer;bid_cost_target_transfer_line","bid_cost","DATA_VALUE","1","SEEDED","bid_cost.bid_project_name:1",""
"bid-cost","bid-cost/index.vue","583","备注","remark","","remark","False","False","bid;project","bid_cost;bid_deposit;bid_cost_target_transfer;bid_cost_target_transfer_line","bid_cost;bid_cost_target_transfer;bid_deposit","DATA_VALUE","3","SEEDED","bid_cost.remark:1;bid_cost_target_transfer.remark:1;bid_deposit.remark:1",""
"bid-cost","bid-cost/index.vue","607","关联项目","selectedProjectId","","selected_project_id","True","False","bid;project","bid_cost;bid_deposit;bid_cost_target_transfer;bid_cost_target_transfer_line","","COMMAND_INPUT","0","USER_ENTERED","api:bid;project","操作命令参数；成功执行后转化为状态、记录或关联行，不按同名列持久化。"
"bid-cost","bid-cost/index.vue","650","投标项目名称","bidProjectName","","bid_project_name","True","False","bid;project","bid_cost;bid_deposit;bid_cost_target_transfer;bid_cost_target_transfer_line","bid_cost","DATA_VALUE","1","SEEDED","bid_cost.bid_project_name:1",""
"bid-cost","bid-cost/index.vue","653","备注","remark","","remark","False","False","bid;project","bid_cost;bid_deposit;bid_cost_target_transfer;bid_cost_target_transfer_line","bid_cost;bid_cost_target_transfer;bid_deposit","DATA_VALUE","3","SEEDED","bid_cost.remark:1;bid_cost_target_transfer.remark:1;bid_deposit.remark:1",""
